activity_name,name,amount,database,location,unit,type,formula,original_amount,reference_product,unknown,categories
Manchette acc mobile,"treatment of aluminium scrap, new, at remelter",0.0157969,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,mam_eol_alu5086+mam_eol_alu,1.0,"aluminium, wrought alloy",,
Manchette equipee,Manchette equipee,1.0,OPERA,FR,unit,production,,,Manchette equipee,,
Manchette equipee,"compressed air production, 1000 kPa gauge, <30kW, average generation",0.0129,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,me_air_al5086,1.0,"compressed air, 1000 kPa gauge",,
Manchette equipee,"market for aluminium, primary, ingot",0.1706,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,me_m_al5086-me_eol_al5086,1.0,"aluminium, primary, ingot",,
Manchette equipee,"market for carton board box production, with gravure printing",0.00125,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,me_box_pack,1.0,"carton board box production, with gravure printing",,
Manchette equipee,"market for electricity, low voltage",0.01756388888888889,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,me_elec_al5086/3.6+me_elec_acier/3.6,1.0,"electricity, low voltage",,
Manchette equipee,market for lubricating oil,2.26e-05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,me_lub_al5086,1.0,lubricating oil,,
Manchette equipee,market for nylon 6-6,0.003,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,me_m_pa66_vel,1.0,nylon 6-6,,
Manchette equipee,"market for transport, freight, lorry 16-32 metric ton, EURO5",0.674,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,me_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Manchette equipee,plywood production,0.0112,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,mam_m_ply_pack,1.0,"wood chips, dry, measured as dry mass",,
Manchette equipee,"polyurethane production, flexible foam, TDI-based, low density",0.003,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,me_m_pu_vel,1.0,"polyurethane, flexible foam",,
Manchette equipee,"polyvinylchloride production, suspension polymerisation",0.06,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,me_m_cuir,1.0,"polyvinylchloride, suspension polymerised",,
Manchette equipee,"transport, freight, aircraft, belly-freight, medium haul",6.83,ecoinvent-3.10-cutoff,GLO,ton kilometer,technosphere,me_plane_pack,1.0,"transport, freight, aircraft, medium haul",,
Manchette equipee,"treatment of aluminium scrap, new, at remelter",0.0254,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,me_eol_al5086,1.0,"aluminium, wrought alloy",,
Padding,Padding,1.0,OPERA,GLO,unit,production,,,Padding,,
Padding,folding boxboard carton production,1.0,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,pad_box_pack,1.0,folding boxboard carton,,
Padding,"market for transport, freight, lorry 16-32 metric ton, EURO4",3.06,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,pad_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Padding,"polyvinylchloride production, suspension polymerisation",1.25,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,pad_m_pvc,1.0,"polyvinylchloride, suspension polymerised",,
Recyclage siege,Recyclage siege,1.0,OPERA,GLO,unit,production,,,Recyclage siege,,
Recyclage siege,glass fibre production,-1.59,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_glass_fibre_peau,1.0,glass fibre,,
Recyclage siege,"market for 1,3-dichloropropene",-0.003,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,-recy_chloro_plast,1.0,"1,3-dichloropropene",,
Recyclage siege,"market for aluminium, primary, ingot",-38.476549999999996,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,-recy_alucu4-recy_almg-recy_alu_ingot-recy_alu_dee-recy_copper_sheet,1.0,"aluminium, primary, ingot",,
Recyclage siege,market for nylon 6-6,-0.093,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_pa66_plast,1.0,nylon 6-6,,
Recyclage siege,market for polycarbonate,-0.137,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_pc_plast,1.0,polycarbonate,,
Recyclage siege,"market for polyether polyols, short chain",-2.59,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_polyether_peau-recy_pu_plast,1.0,"polyether polyols, short chain",,
Recyclage siege,"market for polyurethane, rigid foam",-1.33,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_pu_plast,1.0,"polyurethane, rigid foam",,
Recyclage siege,market for scrap steel,7.255,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,recy_steel_tin+recy_stainless_steel,1.0,scrap steel,,
Recyclage siege,market for silicone product,-0.000228,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_silicon_plast,1.0,silicone product,,
Recyclage siege,"market for solvent, organic",-0.002,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,-recy_solv_plast,1.0,"solvent, organic",,
Recyclage siege,market for tap water,0.0010999999999999998,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,recy_water_washing_dee-recy_cu_wire_dee,1.0,tap water,,
Recyclage siege,"market for wire drawing, copper",-0.00335,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,-recy_cu_wire_dee,1.0,"wire drawing, copper",,
Recyclage siege,"market group for electricity, low voltage",5.244674305555553,ecoinvent-3.10-cutoff,RER,kilowatt hour,technosphere,recy_elec_washing_plast/3.6+recy_elec_washing_dee/3.6+recy_elec_peau/3.6-recy_inc_elec_wool/3.6-recy_inc_elec_plast/3.6-recy_inc_elec_dee/3.6,1.0,"electricity, low voltage",,
Recyclage siege,"market group for heat, central or small-scale, natural gas",-44.157954000000004,ecoinvent-3.10-cutoff,RER,megajoule,technosphere,-recy_inc_heat_wool-recy_inc_heat_plast-recy_inc_heat_dee+recy_heat_washing_plast+recy_heat_washing_dee,1.0,"heat, central or small-scale, natural gas",,
Recyclage siege,market group for municipal solid waste,0.065,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,recy_waste_sealing,1.0,municipal solid waste,,
Recyclage siege,"polyvinylchloride production, bulk polymerisation",-1.36,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_pvc_plast,1.0,"polyvinylchloride, bulk polymerised",,
Recyclage siege,"steel production, converter, low-alloyed",-7.08144,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_stainless_steel-recy_ptfe_dee,1.0,"steel, low-alloyed",,
Recyclage siege,tetrafluoroethylene production,-0.00144,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-recy_ptfe_dee,1.0,tetrafluoroethylene,,
Recyclage siege,"treatment of aluminium scrap, new, at refiner",38.476549999999996,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,recy_alucu4+recy_almg+recy_alu_ingot+recy_alu_dee+recy_copper_sheet,1.0,"aluminium, cast alloy",,
Recyclage siege,"treatment of inert waste, sanitary landfill",6.0365,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,recy_inert_landfill_peau+recy_landfill_washing_plast+recy_landfill_dee,1.0,inert waste,,
Recyclage siege,"treatment of sewage sludge, 70% water, WWT-SLF, municipal solid waste, municipal incineration",5.87,ecoinvent-3.10-cutoff,GLO,megajoule,technosphere,recy_inc_heat_wool,1.0,"heat, for reuse in municipal waste incineration only",,
Recyclage siege,"treatment of waste plastic, mixture, sanitary landfill",0.928,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,recy_plastic_landfill_peau,1.0,"waste plastic, mixture",,
Renfort tubulaire,Renfort tubulaire,1.0,OPERA,FR,unit,production,,,Renfort tubulaire,,
Renfort tubulaire,"fleece production, polyethylene",0.0142,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,RF_m_pe_pack,1.0,"fleece, polyethylene",,
Renfort tubulaire,market for EUR-flat pallet,0.1009428058062302,ecoinvent-3.10-cutoff,RER,unit,technosphere,RF_m_pallet_pack/24.7665,1.0,EUR-flat pallet,,
Renfort tubulaire,"market for aluminium, primary, ingot",1.3366,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,RF_m_alu6060+RF_m_alu5086-RF_eol_alu6060-RF_eol_alu5086,1.0,"aluminium, primary, ingot",,
Renfort tubulaire,"market for compressed air, 1000 kPa gauge",0.1011,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,RF_air_alu6060+RF_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Renfort tubulaire,"market for electricity, low voltage",0.20675000000000002,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,RF_elec_alu6060/3.6+RF_elec_air_alu6060/3.6+RF_elec_alu5086/3.6+RF_elec_air_alu5086/3.6+RF_elec_acier/3.6,1.0,"electricity, low voltage",,
Renfort tubulaire,market for kraft paper,0.0142,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,RF_m_pap_pack,1.0,kraft paper,,
Renfort tubulaire,market for lubricating oil,0.0001777,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,RF_lub_alu6060+RF_lub_alu5086,1.0,lubricating oil,,
Renfort tubulaire,market for scrap steel,0.0058,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,RF_eol_acier,1.0,scrap steel,,
Renfort tubulaire,"market for transport, freight, lorry 16-32 metric ton, EURO5",1.7,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,RF_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Renfort tubulaire,"steel production, converter, low-alloyed",0.0572,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-RF_eol_acier+RF_m_steel,1.0,"steel, low-alloyed",,
Renfort tubulaire,"treatment of aluminium scrap, new, at remelter",0.19940000000000002,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,RF_eol_alu6060+RF_eol_alu5086,1.0,"aluminium, wrought alloy",,
SFCU,SFCU,1.0,OPERA,FR,unit,production,,,SFCU,,
SFCU,folding boxboard carton production,0.9,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,SFCU_box_pack,1.0,folding boxboard carton,,
SFCU,market for keyboard,0.17,ecoinvent-3.10-cutoff,GLO,unit,technosphere,SFCU_keyboard,1.0,keyboard,,
SFCU,"market for packaging film, low density polyethylene",0.1,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,SFCU_pe_pack,1.0,"packaging film, low density polyethylene",,
SFCU,"market for transport, freight, aircraft, medium haul",6.9,ecoinvent-3.10-cutoff,GLO,ton kilometer,technosphere,SFCU_plane_pack,1.0,"transport, freight, aircraft, medium haul",,
SFCU,"market for wastewater, average",0.001,ecoinvent-3.10-cutoff,Europe without Switzerland,cubic meter,technosphere,sfcu_waste_water_pe/1000,1.0,"wastewater, average",,
Seat power,Seat power,1.0,OPERA,GLO,unit,production,,,Seat power,,
Seat power,folding boxboard carton production,0.9,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,pow_box_psu,1.0,folding boxboard carton,,
Seat power,"market for packaging film, low density polyethylene",0.1,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,pow_pe_psu,1.0,"packaging film, low density polyethylene",,
Seat power,"power supply unit production, for desktop computer",1.5,ecoinvent-3.10-cutoff,RoW,unit,technosphere,pow_seat_psu,1.0,"power supply unit, for desktop computer",,
Stowage assemblé avec porte,Stowage assemblé avec porte,1.0,OPERA,FR,unit,production,,,Stowage assemblé avec porte,,
Stowage assemblé avec porte,"compressed air production, 700 kPa gauge, >30kW, average generation",0.186,ecoinvent-3.10-cutoff,RoW,cubic meter,technosphere,sto_air_alu2056,1.0,"compressed air, 700 kPa gauge",,
Stowage assemblé avec porte,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.001475,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,sto_inc_elec_nylon/3.6,1.0,"electricity, medium voltage",,
Stowage assemblé avec porte,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.00947,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,sto_inc_heat_nylon,1.0,"heat, district or industrial, other than natural gas",,
Stowage assemblé avec porte,"market for aluminium, primary, ingot",7.862000000000004,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,sto_m_alu2056+sto_m_alu2017-sto_eol_alu2017-sto_eol_alu2056,1.0,"aluminium, primary, ingot",,
Stowage assemblé avec porte,market for corrugated board box,0.00338,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_m_box_pack,1.0,corrugated board box,,
Stowage assemblé avec porte,"market for electricity, low voltage",6.317744444444445,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,sto_elec_alu2056/3.6+sto_elec_air_alu2056/3.6+sto_elec_alu2017/3.6+sto_elec_35NC / 3.6+sto_elec_inox/3.6+sto_elec_nylon/3.6+sto_elec_ert/3.6+sto_elec_sili/3.6+sto_elec_acier/3.6,1.0,"electricity, low voltage",,
Stowage assemblé avec porte,market for lubricating oil,0.000327,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,sto_m_lub_alu2056,1.0,lubricating oil,,
Stowage assemblé avec porte,"market for nylon 6, glass-filled",0.0206,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_m_pa6_ert,1.0,"nylon 6, glass-filled",,
Stowage assemblé avec porte,market for nylon 6-6,0.0412,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_m_nylon,1.0,nylon 6-6,,
Stowage assemblé avec porte,market for scrap steel,0.010338199999999999,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,sto_eol_35NC+sto_eol_inox+sto_eol_acier,1.0,scrap steel,,
Stowage assemblé avec porte,"market for selective coat, stainless steel sheet, black chrome",0.197,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,sto_pass_alu2017,1.0,"selective coat, stainless steel sheet, black chrome",,
Stowage assemblé avec porte,market for solvent for paint,0.0246,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,sto_m_solv_alu2056,1.0,solvent for paint,,
Stowage assemblé avec porte,"market for transport, freight, lorry 16-32 metric ton, EURO6",3.59,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,sto_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO6",,
Stowage assemblé avec porte,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,sto_m_water_sili+sto_m_wat_ert+sto_m_water_nylon,1.0,tap water,,
Stowage assemblé avec porte,"polyethylene production, low density, granulate",0.000375,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_m_pe_pack,1.0,"polyethylene, low density, granulate",,
Stowage assemblé avec porte,"polyvinylchloride production, bulk polymerisation",0.237,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_m_pvc_kyr,1.0,"polyvinylchloride, bulk polymerised",,
Stowage assemblé avec porte,silicone product production,0.000721,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_m_sili,1.0,silicone product,,
Stowage assemblé avec porte,"steel production, chromium steel 18/8, hot rolled",0.0102,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_m_inox,1.0,"steel, chromium steel 18/8, hot rolled",,
Stowage assemblé avec porte,"steel production, converter, low-alloyed",0.10245179999999998,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_m_acier-sto_eol_35NC-sto_eol_inox-sto_eol_acier+sto_m_35NC,1.0,"steel, low-alloyed",,
Stowage assemblé avec porte,"treatment of aluminium scrap, new, at remelter",67.46799999999999,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sto_eol_alu2017+sto_eol_alu2056,1.0,"aluminium, wrought alloy",,
Structure Ottoman horizontale,Structure Ottoman horizontale,1.0,OPERA,FR,unit,production,,,Structure Ottoman horizontale,,
Structure Ottoman horizontale,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",3.62e-05,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,soh_inc_elec_ert,1.0,"electricity, medium voltage",,
Structure Ottoman horizontale,"fleece production, polyethylene",0.000313,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,soh_m_pe_pack,1.0,"fleece, polyethylene",,
Structure Ottoman horizontale,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",6.45e-05,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,soh_inc_heat_ert,1.0,"heat, district or industrial, other than natural gas",,
Structure Ottoman horizontale,"market for aluminium, primary, ingot",1.9320000000000002,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,soh_m_alu508-soh_eol_alu508,1.0,"aluminium, primary, ingot",,
Structure Ottoman horizontale,"market for compressed air, 1000 kPa gauge",0.146,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,soh_air_alu508,1.0,"compressed air, 1000 kPa gauge",,
Structure Ottoman horizontale,"market for electricity, low voltage",0.29792500000000005,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,soh_elec_alu508/3.6+soh_elec_acier/3.6+soh_elec_ert/3.6,1.0,"electricity, low voltage",,
Structure Ottoman horizontale,market for lubricating oil,0.000256,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,soh_lub_alu508,1.0,lubricating oil,,
Structure Ottoman horizontale,market for plywood,0.0593,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,soh_m_ply_pack,1.0,plywood,,
Structure Ottoman horizontale,market for scrap steel,0.0066,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,soh_eol_acier,1.0,scrap steel,,
Structure Ottoman horizontale,"market for transport, freight, lorry 16-32 metric ton, EURO5",0.679,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,soh_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Structure Ottoman horizontale,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,soh_m_wat_ert,1.0,tap water,,
Structure Ottoman horizontale,nylon 6 production,0.000281,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,soh_m_pa6_ert,1.0,nylon 6,,
Structure Ottoman horizontale,"steel production, converter, low-alloyed",0.0666,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-soh_eol_acier+soh_m_acier,1.0,"steel, low-alloyed",,
Structure Ottoman horizontale,"treatment of aluminium scrap, new, at remelter",0.288,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,soh_eol_alu508,1.0,"aluminium, wrought alloy",,
Support NFC,Support NFC,1.0,OPERA,GLO,unit,production,,,Support NFC,,
Support NFC,"compressed air production, 1000 kPa gauge, <30kW, average generation",0.000757,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,snfc_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Support NFC,folding boxboard carton production,0.113,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,snfc_box_pack,1.0,folding boxboard carton,,
Support NFC,"market for aluminium scrap, new",0.0015,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,snfc_eol_alu5086,1.0,"aluminium scrap, new",,
Support NFC,"market for aluminium, primary, ingot",0.01,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,snfc_m_alu5086-snfc_eol_alu5086,1.0,"aluminium, primary, ingot",,
Support NFC,"market for electricity, low voltage",0.0014194444444444445,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,snfc_elec_alu5086/3.6+snfc_elec_air_alu5086/3.6,1.0,"electricity, low voltage",,
Support NFC,market for kraft paper,0.0125,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,snfc_pap_pack,1.0,kraft paper,,
Support NFC,market for lubricating oil,1.36e-06,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,snfc_lub_alu5086,1.0,lubricating oil,,
Support NFC,"market for transport, freight, lorry 16-32 metric ton, EURO4",0.0324,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,snfc_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Support ecran assemble,Support ecran assemble,1.0,OPERA,FR,unit,production,,,Support ecran assemble,,
Support ecran assemble,"fleece production, polyethylene",0.000188,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sea_m_pe_pack,1.0,"fleece, polyethylene",,
Support ecran assemble,"market for aluminium, primary, ingot",2.3072999999999992,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,sea_m_alu2017+sea_m_alu5086-sea_eol_alu2017-sea_eol_alu5086,1.0,"aluminium, primary, ingot",,
Support ecran assemble,"market for compressed air, 1000 kPa gauge",0.0383,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,sea_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Support ecran assemble,"market for electricity, low voltage",1.4994111111111112,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,sea_elec_alu2017/3.6+sea_elec_alu5086/3.6+sea_elec_air_alu5086/3.6+sea_elec_inox/3.6+sea_elec_acier/3.6,1.0,"electricity, low voltage",,
Support ecran assemble,market for lubricating oil,6.73e-05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sea_lub_air_alu5086,1.0,lubricating oil,,
Support ecran assemble,market for plywood,0.0356,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,sea_m_ply_pack,1.0,plywood,,
Support ecran assemble,market for scrap steel,0.00707,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,sea_eol_inox+sea_eol_acier,1.0,scrap steel,,
Support ecran assemble,"market for selective coat, stainless steel sheet, black chrome",0.301,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,sea_pass_alu2017,1.0,"selective coat, stainless steel sheet, black chrome",,
Support ecran assemble,"market for transport, freight, lorry 16-32 metric ton, EURO5",1.28,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,sea_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Support ecran assemble,"steel production, chromium steel 18/8, hot rolled",0.0154,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sea_m_inox,1.0,"steel, chromium steel 18/8, hot rolled",,
Support ecran assemble,"steel production, converter, low-alloyed",0.05593,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-sea_eol_inox-sea_eol_acier+sea_m_acier,1.0,"steel, low-alloyed",,
Support ecran assemble,"treatment of aluminium scrap, new, at remelter",15.775699999999999,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sea_eol_alu2017+sea_eol_alu5086,1.0,"aluminium, wrought alloy",,
Support et clamps,Support et clamps,1.0,OPERA,FR,unit,production,,,Support et clamps,,
Support et clamps,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.0475,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,sucla_inc_elec_nyl/3.6,1.0,"electricity, medium voltage",,
Support et clamps,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.304,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,sucla_inc_heat_nyl,1.0,"heat, district or industrial, other than natural gas",,
Support et clamps,"market for electricity, low voltage",1.7197222222222228,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,sucla_elec_acier/3.6+sucla_elec_nyl/3.6,1.0,"electricity, low voltage",,
Support et clamps,market for folding boxboard carton,0.00036,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sucla_box_pack,1.0,folding boxboard carton,,
Support et clamps,market for nylon 6-6,1.32,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sucla_m_pa66_nyl,1.0,nylon 6-6,,
Support et clamps,market for scrap steel,0.127,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,sucla_eol_acier,1.0,scrap steel,,
Support et clamps,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,sucla_m_wat_nyl,1.0,tap water,,
Support et clamps,"polyethylene production, low density, granulate",4e-05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sucla_pe_pack,1.0,"polyethylene, low density, granulate",,
Support et clamps,"steel production, converter, low-alloyed",1.283,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-sucla_eol_acier+sucla_m_acier,1.0,"steel, low-alloyed",,
Support manchette equipee,Support manchette equipee,1.0,OPERA,GLO,unit,production,,,Support manchette equipee,,
Support manchette equipee,"compressed air production, 1000 kPa gauge, <30kW, average generation",0.00886,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,sme_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Support manchette equipee,folding boxboard carton production,0.113,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sme_box_pack,1.0,folding boxboard carton,,
Support manchette equipee,"market for aluminium scrap, new",0.0175,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sme_eol_alu5086,1.0,"aluminium scrap, new",,
Support manchette equipee,"market for aluminium, primary, ingot",0.11750000000000001,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,sme_m_alu5086-sme_eol_alu5086,1.0,"aluminium, primary, ingot",,
Support manchette equipee,"market for electricity, low voltage",0.017144444444444448,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,sme_elec_acier/3.6+sme_elec_air_alu5086/3.6+sme_elec_alu5086/3.6,1.0,"electricity, low voltage",,
Support manchette equipee,market for kraft paper,0.0125,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sme_pap_pack,1.0,kraft paper,,
Support manchette equipee,market for lubricating oil,1.56e-05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sme_lub_alu5086,1.0,lubricating oil,,
Support manchette equipee,market for scrap steel,0.000581,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,sme_eol_acier,1.0,scrap steel,,
Support manchette equipee,"market for transport, freight, lorry 16-32 metric ton, EURO4",0.0595,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,sme_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO4",,
Support manchette equipee,"steel production, converter, low-alloyed",0.0060090000000000005,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,sme_m_acier-sme_eol_acier,1.0,"steel, low-alloyed",,
commande actionnement ECU,commande actionnement ECU,1.0,OPERA,FR,unit,production,,,commande actionnement ECU,,
commande actionnement ECU,folding boxboard carton production,0.9,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,cae_box_pack,1.0,folding boxboard carton,,
commande actionnement ECU,"market for aluminium, primary, ingot",0.5249999999999999,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,cae_commande*0.7,1.0,"aluminium, primary, ingot",,
commande actionnement ECU,"market for electronics, for control units",0.225,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,cae_commande*0.3,1.0,"electronics, for control units",,
commande actionnement ECU,"market for packaging film, low density polyethylene",0.1,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,cae_pe_pack,1.0,"packaging film, low density polyethylene",,
commande actionnement ECU,"market for wastewater, average",0.00015,ecoinvent-3.10-cutoff,Europe without Switzerland,cubic meter,technosphere,cae_waste_water_pack/1000,1.0,"wastewater, average",,
consommation passive siege pkm,consommation passive siege pkm,1.0,OPERA,GLO,unit,production,,,consommation passive siege pkm,,
consommation passive siege pkm,"kerosene, production et combustion, 1tkm eq",0.2544465714285714,OPERA,GLO,unit,technosphere,conso_standard_kero_pkm/alloc_masse_passager*1000,1.0,"kerosene, production et combustion, 1tkm eq",,
consommation passive siege tkm,consommation passive siege tkm,1.0,OPERA,GLO,unit,production,,,consommation passive siege tkm,,
consommation passive siege tkm,"kerosene, production et combustion, 1tkm eq",1.0,OPERA,GLO,unit,technosphere,1,1.0,"kerosene, production et combustion, 1tkm eq",,
