capacity_node::M-1430,capacity_node::M-1810,capacity_node::SDC-1450,case_dir,demand_item::item:268091,demand_item::item:268967,error,factor::capacity_scale,factor::demand_scale,factor::lead_time_scale,factor::production_stock_scale,factor::supplier_stock_scale,factor::transport_cost_scale,is_baseline,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,run_id,status
0.918595,0.839687,0.979681,,0.879282,1.217879,,1.0,1.0,1.036243,1.233367,0.866379,1.27924,False,1056797.7625,0.976512,0.002022,0.021466,490.3669,1044546.3617,0.685615,12559.5036,1291115.8822,1559.7635,40757.2539,41108.6502,41108.6502,17559.5598,3605.7747,1260789.802,1288505.1741,1070047.5012,2794.5081,2610.7081,1069.3966,44505.2853,27715.3721,0.0,run_0040,ok
0.914126,1.071049,0.717448,,0.963316,1.023931,,1.0,1.0,1.098212,1.029285,1.103117,0.994014,False,835451.4054,0.975742,0.002639,0.021619,362.6346,822132.7011,0.754648,14299.4395,1020273.3279,1478.015,40164.7434,40748.7154,40748.7154,17463.0335,3170.921,995523.039,1017580.4888,849584.9583,2649.2369,2692.839,1115.3803,46061.9619,22057.4498,0.0,run_0041,ok
0.812229,1.05416,0.943795,,1.056511,0.956047,,1.0,1.0,1.194341,1.103258,1.164996,1.067176,False,1074726.0877,0.980843,0.001987,0.01717,457.9884,1058585.326,0.69403,13994.7011,1307531.214,1496.84,35962.5691,37215.7994,37215.7994,15722.8063,3060.922,1282483.4508,1304933.1142,1085766.9506,2751.2632,2598.0999,1038.8516,43968.9557,22449.6634,0.0,run_0042,ok
0.969132,0.93069,0.851366,,0.935948,0.971129,,1.0,1.0,0.977177,0.973298,1.165189,1.209012,False,882315.5465,0.974647,0.002293,0.023059,323.8069,873992.8043,0.771708,13873.9336,1080104.2332,1418.3885,40645.2011,41153.7269,41153.7269,17472.9639,3419.278,1052720.6038,1077627.2631,894088.7379,2481.0425,2476.9701,1094.5816,42468.952,24906.6593,0.0,run_0043,ok
1.014743,0.708548,0.927254,,1.036927,0.932747,,1.0,1.0,1.005156,1.179256,1.140733,1.280364,False,984251.5517,0.974439,0.002028,0.023533,442.549,972089.0268,0.697907,15321.7273,1204337.258,1464.945,40595.4523,41114.6635,41114.6635,16000.5565,3484.4073,1173553.2442,1201895.332,995970.2487,2664.1273,2441.926,1022.396,45336.881,28342.0878,0.0,run_0044,ok
0.991845,1.16663,1.108387,,0.982115,0.896128,,1.0,1.0,1.007567,1.016713,1.128358,1.082504,False,1164214.4516,0.981415,0.001909,0.016676,261.5551,1150511.1934,0.812766,13724.723,1416454.1784,1396.9432,39925.2069,40600.0537,40600.0537,15251.8538,3327.1584,1390128.8121,1413749.9861,1177162.01,2636.5556,2704.1924,1135.3882,45339.9211,23621.1739,0.0,run_0045,ok
1.088351,1.057313,0.901085,,0.94563,1.119213,,1.0,1.0,0.930266,1.065354,1.059751,0.900874,False,890624.5397,0.978826,0.002539,0.018634,339.4135,890435.0769,0.778988,23663.273,1085212.2318,1535.727,46186.242,46585.4587,46585.4587,19911.4758,3292.0006,1062234.4632,1082456.4409,902609.9469,2684.1352,2755.7909,1196.3135,46062.9015,20221.9777,0.0,run_0046,ok
0.973129,1.041848,0.887078,,1.13554,0.814495,,1.0,1.0,0.941113,1.019412,0.942409,0.854139,False,884251.6706,0.980506,0.002505,0.016988,280.5395,868995.927,0.80657,14997.6316,1075534.9048,1450.3385,37869.4604,38383.584,38383.584,13407.341,2855.5223,1054568.7218,1072840.1794,895988.3592,2659.0011,2694.7254,1169.799,44717.5919,18271.4576,0.0,run_0047,ok
1.096551,0.838513,0.976634,,0.731592,1.088278,,1.0,1.0,1.086583,1.072863,0.941984,1.051647,False,1113555.4865,0.979081,0.002022,0.018897,298.8284,1101592.6845,0.779223,14631.2561,1357086.3928,1353.5283,46009.8603,46443.9075,46443.9075,19601.0916,3563.1413,1328697.2552,1354342.2357,1131889.7061,2614.6422,2744.157,1054.6999,49764.1546,25644.9805,0.0,run_0048,ok
0.986641,1.110936,1.055386,,0.911792,1.134775,,1.0,1.0,0.932622,0.870865,1.060891,1.29956,False,1031024.5429,0.976365,0.002053,0.021582,439.9708,1030405.7132,0.710951,21869.9016,1261310.4033,1522.1342,42906.7265,43402.2658,43402.2658,18625.0141,3786.5912,1231499.8162,1258721.3134,1042805.8696,2373.2305,2589.0898,1082.1634,43106.8528,27221.4973,0.0,run_0049,ok
