severity,category,record_index,tier,supplier_index,system,component,supplier_name,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,detail
MEDIUM,COUNTRY_CENTROID_USED,19,tier1,2,Ens. Equipements latéraux,acier,Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,20,tier1,3,Stowage assemblé avec porte,35NC6 (nickel-chrome),Lauak Group (France) (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,21,tier1,2,Accoudoir allée,A2017 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,22,tier1,1,Ens. Stowage latéral,A2017 - Aluminium,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,23,tier1,2,Ens. Palette optimisée,A2017 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,24,tier1,1,Ens. Tablette cocktail,A2017 - Aluminium,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,24,tier1,4,Ens. Tablette cocktail,A2017 - Aluminium,Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
HIGH,COUNTRY_FIELD_LOCATION_MISMATCH,24,tier1,6,Ens. Tablette cocktail,A2017 - Aluminium,Jamco Corp (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",country='Japan' conflicts with location='France'
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,24,tier1,6,Ens. Tablette cocktail,A2017 - Aluminium,Jamco Corp (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",geocode_query countries=['Japan'] do not include normalized location=France
MEDIUM,COUNTRY_CENTROID_USED,24,tier1,6,Ens. Tablette cocktail,A2017 - Aluminium,Jamco Corp (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",coordinates are country centroid (Japan); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,24,tier1,6,Ens. Tablette cocktail,A2017 - Aluminium,Jamco Corp (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan","lat/lon (36.2048,138.2529) are outside normalized location country France"
HIGH,COUNTRY_FIELD_LOCATION_MISMATCH,25,tier1,4,Ens. Tablette repas,A2017 - Aluminium,Jamco (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",country='Japan' conflicts with location='France'
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,25,tier1,4,Ens. Tablette repas,A2017 - Aluminium,Jamco (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",geocode_query countries=['Japan'] do not include normalized location=France
MEDIUM,COUNTRY_CENTROID_USED,25,tier1,4,Ens. Tablette repas,A2017 - Aluminium,Jamco (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",coordinates are country centroid (Japan); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,25,tier1,4,Ens. Tablette repas,A2017 - Aluminium,Jamco (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan","lat/lon (36.2048,138.2529) are outside normalized location country France"
MEDIUM,COUNTRY_CENTROID_USED,26,tier1,3,Ens. Têtière,A2017 - Aluminium,Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,27,tier1,3,Stowage assemblé avec porte,A2017 - Aluminium,Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,28,tier1,3,Support écran,A2017 - Aluminium,Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,29,tier1,2,Accoudoir allée,A2024 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,30,tier1,1,Ens. Tablette cocktail,A2024 - Aluminium,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
HIGH,COUNTRY_FIELD_LOCATION_MISMATCH,30,tier1,5,Ens. Tablette cocktail,A2024 - Aluminium,Jamco Corp (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",country='Japan' conflicts with location='France'
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,30,tier1,5,Ens. Tablette cocktail,A2024 - Aluminium,Jamco Corp (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",geocode_query countries=['Japan'] do not include normalized location=France
MEDIUM,COUNTRY_CENTROID_USED,30,tier1,5,Ens. Tablette cocktail,A2024 - Aluminium,Jamco Corp (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",coordinates are country centroid (Japan); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,30,tier1,5,Ens. Tablette cocktail,A2024 - Aluminium,Jamco Corp (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan","lat/lon (36.2048,138.2529) are outside normalized location country France"
HIGH,COUNTRY_FIELD_LOCATION_MISMATCH,31,tier1,4,Ens. Tablette repas,A2024 - Aluminium,Jamco (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",country='Japan' conflicts with location='France'
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,31,tier1,4,Ens. Tablette repas,A2024 - Aluminium,Jamco (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",geocode_query countries=['Japan'] do not include normalized location=France
MEDIUM,COUNTRY_CENTROID_USED,31,tier1,4,Ens. Tablette repas,A2024 - Aluminium,Jamco (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",coordinates are country centroid (Japan); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,31,tier1,4,Ens. Tablette repas,A2024 - Aluminium,Jamco (Japon) (France),France,France,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan","lat/lon (36.2048,138.2529) are outside normalized location country France"
MEDIUM,COUNTRY_CENTROID_USED,33,tier1,2,Accoudoir allée,A5086 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,34,tier1,2,Bumper version porte,A5086 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,34,tier1,3,Bumper version porte,A5086 - Aluminium,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,34,tier1,4,Bumper version porte,A5086 - Aluminium,SENIOR AEROSPACE (Thailand) (France),France,France,,46.2276,2.2137,country_centroid,"SENIOR AEROSPACE (Thailand) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,35,tier1,1,Ens. Stowage latéral,A5086 - Aluminium,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,36,tier1,3,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",Celso (France) (France),France,France,,46.2276,2.2137,country_centroid,"Celso SAS, 200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,37,tier1,1,Ens. Structure fauteuil,4140 (acier),SENIOR AEROSPACE(Thailand),Thailand,Thailand,,15.87,100.9925,country_centroid,"SENIOR AEROSPACE(Thailand), Chonburi, Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,37,tier1,2,Ens. Structure fauteuil,4140 (acier),MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,37,tier1,3,Ens. Structure fauteuil,4140 (acier),Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,37,tier1,4,Ens. Structure fauteuil,4140 (acier),SUMPAR (France) (Thailand),Thailand,Thailand,,15.87,100.9925,country_centroid,"SUMPAR (France) (Thailand), Chonburi, Thailand",coordinates are country centroid (Thailand); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,39,tier1,1,Manchette acc. Mobile,A5086 - Aluminium,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,39,tier1,1,Manchette acc. Mobile,A5086 - Aluminium,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,39,tier1,2,Manchette acc. Mobile,A5086 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
HIGH,LOCATION_INVALID,39,tier1,4,Manchette acc. Mobile,A5086 - Aluminium,Figeac Aéro (France) (s),s,INVALID_S,,44.590773,2.0333182,nominatim,Figeac Aéro,location is not a usable country/location: 's'
LOW,LOCATION_NONSTANDARD_LABEL,40,tier1,1,Manchette équipée,A5086 - Aluminium,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,40,tier1,1,Manchette équipée,A5086 - Aluminium,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,40,tier1,2,Manchette équipée,A5086 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
HIGH,LOCATION_INVALID,40,tier1,4,Manchette équipée,A5086 - Aluminium,Figeac Aéro (France) (s),s,INVALID_S,,44.590773,2.0333182,nominatim,Figeac Aéro,location is not a usable country/location: 's'
MEDIUM,COUNTRY_CENTROID_USED,41,tier1,1,Renfort tubulaire,A5086 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,41,tier1,2,Renfort tubulaire,A5086 - Aluminium,L&P Aerospace (France),France,France,,46.2276,2.2137,country_centroid,"L&P Aerospace, Aéroport CDG, 95700 Roissy-en-France, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,41,tier1,4,Renfort tubulaire,A5086 - Aluminium,SENIOR AEROSPACE (France) (France),France,France,,46.2276,2.2137,country_centroid,"SENIOR AEROSPACE (France) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,42,tier1,3,Stowage assemblé avec porte,A5086 - Aluminium,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,42,tier1,4,Stowage assemblé avec porte,A5086 - Aluminium,Senior Aerospace (Thaïlande) (France),France,France,,46.2276,2.2137,country_centroid,"Senior Aerospace (Thaïlande) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,43,tier1,2,Structure ottoman horizontale,A5086 - Aluminium,L&P Aerospace (France) (France),France,France,,46.2276,2.2137,country_centroid,"L&P Aerospace, Aéroport CDG, 95700 Roissy-en-France, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,TIER1_SELF_OR_CUSTOMER_AS_SUPPLIER,44,tier1,1,Support écran,A5086 - Aluminium,SAFRAN(France),France,France,,46.8092197,4.42273,cache:nominatim,"SAFRAN(France), France",Safran appears as tier1 supplier; check whether this is internal flow or customer wrongly listed as supplier
MEDIUM,COUNTRY_CENTROID_USED,45,tier1,3,Support équipé,A5086 - Aluminium,Lauak (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,46,tier1,3,Support manchette équipée,A5086 - Aluminium,Lauak (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,47,tier1,3,Support NFC,A5086 - Aluminium,Lauak (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,48,tier1,1,Renfort tubulaire,A6060 - Aluminium,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,48,tier1,2,Renfort tubulaire,A6060 - Aluminium,L&P Aerospace (France),France,France,,46.2276,2.2137,country_centroid,"L&P Aerospace, Aéroport CDG, 95700 Roissy-en-France, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,48,tier1,4,Renfort tubulaire,A6060 - Aluminium,SENIOR AEROSPACE (France) (France),France,France,,46.2276,2.2137,country_centroid,"SENIOR AEROSPACE (France) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,49,tier1,2,Ceinture de sécurité,acier,Schroth (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"Schroth (Allemagne), Germany",location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,COUNTRY_CENTROID_USED,49,tier1,2,Ceinture de sécurité,acier,Schroth (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"Schroth (Allemagne), Germany",coordinates are country centroid (Germany); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,49,tier1,3,Ceinture de sécurité,acier,J&C Aero (Lituanie),Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,J&C Aero,location should be normalized from 'Lituanie' to 'Lithuania'
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,49,tier1,3,Ceinture de sécurité,acier,J&C Aero (Lituanie),Lituanie,Lithuania,,-20.5228026,-54.6480379,nominatim,J&C Aero,"lat/lon (-20.5228026,-54.6480379) are outside normalized location country Lithuania"
MEDIUM,COUNTRY_CENTROID_USED,50,tier1,1,Support clamps,acier,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,GEOCODE_PROVIDER_MISSING,50,tier1,2,Support clamps,acier,Ancra Aircraft (Californie - USA),Californie - USA,USA,,34.11167,-117.92529,,"Ancra International, 601 S Vincent Ave, Azusa, CA 91702, USA",geocode_provider is missing although coordinates are present
LOW,LOCATION_NONSTANDARD_LABEL,50,tier1,2,Support clamps,acier,Ancra Aircraft (Californie - USA),Californie - USA,USA,,34.11167,-117.92529,,"Ancra International, 601 S Vincent Ave, Azusa, CA 91702, USA",location should be normalized from 'Californie - USA' to 'USA'
MEDIUM,COUNTRY_CENTROID_USED,50,tier1,3,Support clamps,acier,TA Aerospace (Californie - USA) (France),France,France,,46.2276,2.2137,country_centroid,"TA Aerospace (Californie - USA) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,51,tier1,2,Accoudoir allée,acier,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,51,tier1,3,Accoudoir allée,acier,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,51,tier1,4,Accoudoir allée,acier,Lauak Group (France) (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,52,tier1,2,Bumper version porte,acier,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,52,tier1,3,Bumper version porte,acier,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,52,tier1,4,Bumper version porte,acier,SENIOR AEROSPACE (Thailande) (France),France,France,,46.2276,2.2137,country_centroid,"SENIOR AEROSPACE (Thailande) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,53,tier1,1,Ens. Stowage latéral,acier,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,53,tier1,3,Ens. Stowage latéral,acier,Lauak Group (France) (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,54,tier1,2,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,54,tier1,3,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,54,tier1,5,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,SENIOR AEROSPACE (Thailande) (France),France,France,,46.2276,2.2137,country_centroid,"SENIOR AEROSPACE (Thailande) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,55,tier1,1,Ens. Structure fauteuil,35NC6 (nickel-chrome),SENIOR AEROSPACE(Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"SENIOR AEROSPACE(Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,55,tier1,1,Ens. Structure fauteuil,35NC6 (nickel-chrome),SENIOR AEROSPACE(Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"SENIOR AEROSPACE(Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,55,tier1,2,Ens. Structure fauteuil,35NC6 (nickel-chrome),MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,55,tier1,3,Ens. Structure fauteuil,35NC6 (nickel-chrome),Lauak Group(France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,55,tier1,4,Ens. Structure fauteuil,35NC6 (nickel-chrome),SUMPAR (France) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"SUMPAR (France) (Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,55,tier1,4,Ens. Structure fauteuil,35NC6 (nickel-chrome),SUMPAR (France) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"SUMPAR (France) (Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,56,tier1,2,Ens. Palette optimisée,acier,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,56,tier1,3,Ens. Palette optimisée,acier,MGA Villeneuve St Lot (France) (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,57,tier1,1,Ensemble porte,acier,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,58,tier1,1,Ens. Structure fauteuil,A2017 - Aluminium,SENIOR AEROSPACE(Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"SENIOR AEROSPACE(Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,58,tier1,1,Ens. Structure fauteuil,A2017 - Aluminium,SENIOR AEROSPACE(Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"SENIOR AEROSPACE(Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,58,tier1,2,Ens. Structure fauteuil,A2017 - Aluminium,GATTEFIN SAS (France),France,France,,46.2276,2.2137,country_centroid,"Gattefin SAS, 201 Avenue Raoul Aladenize, 18500 Mehun-sur-Yèvre, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,58,tier1,4,Ens. Structure fauteuil,A2017 - Aluminium,segnere aero SAS (France) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"segnere aero SAS (France) (Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,58,tier1,4,Ens. Structure fauteuil,A2017 - Aluminium,segnere aero SAS (France) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"segnere aero SAS (France) (Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,59,tier1,1,Ens. Structure fauteuil,A2024 - Aluminium,SENIOR AEROSPACE(Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"SENIOR AEROSPACE(Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,59,tier1,1,Ens. Structure fauteuil,A2024 - Aluminium,SENIOR AEROSPACE(Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"SENIOR AEROSPACE(Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
