day,node_id,item_id,arrived_qty,uom
26,M-1430,item:734545,0.4,UN
26,M-1430,item:773474,302.7359,G
26,M-1810,item:001757,0.074766,KG
26,M-1810,item:001848,0.03045,KG
26,M-1810,item:001893,0.0,KG
26,M-1810,item:002612,0.05075,KG
26,M-1810,item:016332,0.0,KG
26,M-1810,item:029313,0.0,KG
26,M-1810,item:039668,0.0,KG
26,M-1810,item:049371,0.035362,KG
26,M-1810,item:055703,0.003941,KG
26,M-1810,item:099439,0.1015,KG
26,M-1810,item:338928,0.0,UN
26,M-1810,item:338929,31.122804,UN
26,M-1810,item:426331,0.55,UN
26,M-1810,item:693055,0.0,G
26,M-1810,item:693710,157.657878,G
27,M-1430,item:038005,0.437479,KG
27,M-1430,item:042342,0.0,UN
27,M-1430,item:333362,0.0,UN
27,M-1430,item:344135,0.0,UN
27,M-1430,item:708073,0.19825,KG
27,M-1430,item:730384,5.3,M
27,M-1430,item:734545,0.0,UN
27,M-1430,item:773474,0.0,G
27,M-1810,item:001757,0.0,KG
27,M-1810,item:001848,0.027403,KG
27,M-1810,item:001893,0.158135,KG
27,M-1810,item:002612,0.045672,KG
27,M-1810,item:016332,0.022167,KG
27,M-1810,item:029313,0.0,KG
27,M-1810,item:039668,0.001015,KG
27,M-1810,item:049371,0.036792,KG
27,M-1810,item:055703,0.003792,KG
27,M-1810,item:099439,0.0,KG
27,M-1810,item:338928,74.492003,UN
27,M-1810,item:338929,49.492003,UN
27,M-1810,item:426331,0.225496,UN
27,M-1810,item:693055,0.0,G
27,M-1810,item:693710,0.0,G
28,M-1430,item:038005,0.437479,KG
28,M-1430,item:042342,3017.1,UN
28,M-1430,item:333362,75.0,UN
28,M-1430,item:344135,30.0,UN
28,M-1430,item:708073,0.3965,KG
28,M-1430,item:730384,5.3,M
28,M-1430,item:734545,0.0,UN
28,M-1430,item:773474,0.0,G
28,M-1810,item:001757,0.078829,KG
28,M-1810,item:001848,0.03045,KG
28,M-1810,item:001893,0.19285,KG
28,M-1810,item:002612,0.142587,KG
28,M-1810,item:016332,0.02436,KG
28,M-1810,item:029313,0.00203,KG
28,M-1810,item:039668,0.0,KG
28,M-1810,item:049371,0.0,KG
28,M-1810,item:055703,0.0,KG
28,M-1810,item:099439,0.0,KG
28,M-1810,item:338928,6.122804,UN
28,M-1810,item:338929,0.0,UN
28,M-1810,item:426331,0.0,UN
28,M-1810,item:693055,15.424308,G
28,M-1810,item:693710,162.4,G
29,M-1430,item:038005,0.0,KG
29,M-1430,item:042342,3017.1,UN
29,M-1430,item:333362,0.0,UN
29,M-1430,item:344135,50.0,UN
29,M-1430,item:708073,0.3965,KG
29,M-1430,item:730384,5.3,M
29,M-1430,item:734545,0.2,UN
29,M-1430,item:773474,61.36795,G
29,M-1810,item:001757,0.0,KG
29,M-1810,item:001848,0.024969,KG
29,M-1810,item:001893,0.0,KG
29,M-1810,item:002612,0.092364,KG
29,M-1810,item:016332,0.009987,KG
29,M-1810,item:029313,0.000994,KG
29,M-1810,item:039668,0.000881,KG
29,M-1810,item:049371,0.037555,KG
29,M-1810,item:055703,0.001762,KG
29,M-1810,item:099439,0.143114,KG
29,M-1810,item:338928,0.0,UN
29,M-1810,item:338929,0.0,UN
29,M-1810,item:426331,0.0,UN
29,M-1810,item:693055,0.0,G
29,M-1810,item:693710,0.0,G
