record_index,system,component,family,current_mass_kg,recommended_additive_mass_kg,topdown_reference_mass_kg,mass_policy,mass_policy_action,is_seat_aggregate,duplicate_signature_count,duplicate_mass_warning,lca_use_class,lca_confidence,mass_method,match_level,equipment_match,material_match,raw_materials_status,primary_path_id,t4,t3,t2,t1
144,Coussin ottoman,velours,textile_leather,0.034,0.034,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,"COUSSIN OTTOMAN STD PITCH 38"" QTU",velours,inferred_from_component_label,R144-P0009,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin
145,Coussin têtière,velours,textile_leather,0.003,0.003,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,COUSSIN TETIERE,velours,inferred_from_component_label,R145-P0009,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin
146,Ens. Coussin assise,velours,textile_leather,0.025,0.025,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS COUSSIN ASSISE,velours,inferred_from_component_label,R146-P0009,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin
147,Ens.coussin dossier version têtière,velours,textile_leather,0.008,0.008,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS COUSSIN DOSSIER VERSION TETIERE,velours,inferred_from_component_label,R147-P0009,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin
148,Ens. Coussin dossier,velours,textile_leather,0.022,0.022,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS COUSSIN DOSSIER,velours,inferred_from_component_label,R148-P0009,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin
149,Ens. Structure porte,velcro,textile_leather,0.085,0.0,0.085,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,scenario_only_review_required,medium_low,bom_global_material_total,global_material,manual_alias,velcro,missing_source,R149-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH
150,Habillage sous fauteuil,velours,textile_leather,0.007,0.007,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,HABILLAGE SOUS FAUTEUIL,velour,inferred_from_component_label,R150-P0009,DuPont de Nemours - fiber/polymer source assumption,SOMANI,FRANKLIN,ETS Gattefin
151,Ens. Structure porte,Z10CNT18,steel,0.0478353,0.0478353,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENSEMBLE PORTE,steel (2 BOM material rows),inferred_from_component_label,R151-P0001,China Baowu / Baosteel,Krupp,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,0.039,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE EQUIPEE,frmc55,inferred_from_component_label,R152-P0007,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",MGR Foamtex Ltd,ACH
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,0.45,0.45,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT ECRAN,screen display cots,inferred_from_component_label,R153-P0001,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,Krohne,Thales
154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.024,0.024,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,BUMPER VERSION PORTE,acier,inferred_from_component_label,R154-P0005,ArcelorMittal,thyssenkrupp Materials France,SUMPAR - internal machining/forming process,SUMPAR
155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.7096766,0.7096766,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,acier,inferred_from_component_label,R155-P0005,ArcelorMittal,thyssenkrupp Materials France,SUMPAR - internal machining/forming process,SUMPAR
158,Siége,"Tissu, mousse, polyéthylène",textile_leather,6.478,0.0,6.478,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,low,bom_global_material_family_sum,global_material_family,seat_total,textile_foam_polyethylene (5 BOM material rows),inferred_from_component_label,R158-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS
159,Siége,Moulage plastique,polymer_plastic,6.69155662,0.0,6.69155662,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,low,bom_global_material_family_sum,global_material_family,seat_total,plastic (10 BOM material rows),inferred_from_component_label,R159-P0012,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata
160,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.099,0.0,0.099,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,medium_low,bom_global_material_total,global_material,seat_total,ultra leather 330,inferred_from_component_label,R160-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS
161,Siége,65% aluminium,aluminium,75.378147576,0.0,75.378147576,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,usable_with_review,medium,percentage_of_bom_material_total,seat_total_percentage,SEAT_TOTAL,65% of total non-packaging BOM mass,inferred_from_component_label,R161-P0001,Aluminium Corporation of China / Chalco,Euralliage Ile de France,JAMCO Aircraft Interiors - Niigata - internal machining/forming process,JAMCO Aircraft Interiors - Niigata
162,Siége,"16 % Tissu, mousse, polyéthylène",textile_leather,18.554620942,0.0,18.554620942,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,usable_with_review,medium,percentage_of_bom_material_total,seat_total_percentage,SEAT_TOTAL,16% of total non-packaging BOM mass,inferred_from_component_label,R162-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,JAMCO Aircraft Interiors - Niigata
163,Siége,11% Moulage plastique,polymer_plastic,12.756301898,0.0,12.756301898,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,usable_with_review,medium,percentage_of_bom_material_total,seat_total_percentage,SEAT_TOTAL,11% of total non-packaging BOM mass,inferred_from_component_label,R163-P0003,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata
164,Siége,"8% autre (silicium, cuirs synthétique)",textile_leather,9.277310471,0.0,9.277310471,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,usable_with_review,medium,percentage_of_bom_material_total,seat_total_percentage,SEAT_TOTAL,8% of total non-packaging BOM mass,inferred_from_component_label,R164-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,JAMCO Aircraft Interiors - Niigata
165,Siége,"16 % Tissu, mousse",textile_leather,18.554620942,0.0,18.554620942,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,usable_with_review,medium,percentage_of_bom_material_total,seat_total_percentage,SEAT_TOTAL,16% of total non-packaging BOM mass,inferred_from_component_label,R165-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,JAMCO Aircraft Interiors - Niigata
166,siege,titane fibre de carbone,titanium_carbon,8.927,0.0,8.927,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,scenario_only_review_required,low,bom_global_material_family_sum,global_material_family,seat_total,composite (2 BOM material rows),inferred_from_component_label,R166-P0001,Toray Industries - carbon fiber upstream source assumption,Toray Industries,Toray Industries,JAMCO Aircraft Interiors - Niigata
167,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,0.18,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,2,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,a2024,inferred_from_component_label,R167-P0010,Alcoa,AMAG Austria Metall,SUMPAR - internal machining/forming process,SUMPAR
168,Siége,"Tissu, mousse, polyéthylène",textile_leather,6.478,0.0,6.478,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,low,bom_global_material_family_sum,global_material_family,seat_total,textile_foam_polyethylene (5 BOM material rows),inferred_from_component_label,R168-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS
169,Siége,"Tissu, mousse, polyéthylène",textile_leather,6.478,0.0,6.478,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,low,bom_global_material_family_sum,global_material_family,seat_total,textile_foam_polyethylene (5 BOM material rows),inferred_from_component_label,R169-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS
170,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.099,0.0,0.099,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,medium_low,bom_global_material_total,global_material,seat_total,ultra leather 330,inferred_from_component_label,R170-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS
171,Siége,"autre (silicium, cuirs synthétique)",textile_leather,0.099,0.0,0.099,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,medium_low,bom_global_material_total,global_material,seat_total,ultra leather 330,inferred_from_component_label,R171-P0001,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,COLLINS
172,Siége,Moulage plastique,polymer_plastic,6.69155662,0.0,6.69155662,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,low,bom_global_material_family_sum,global_material_family,seat_total,plastic (10 BOM material rows),inferred_from_component_label,R172-P0012,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata
173,Siége,Moulage plastique,polymer_plastic,6.69155662,0.0,6.69155662,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,3,yes,scenario_only_review_required,low,bom_global_material_family_sum,global_material_family,seat_total,plastic (10 BOM material rows),inferred_from_component_label,R173-P0012,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata
