day,node_id,item_id,stock_before_production
16,M-1430,item:344135,25.0
16,M-1430,item:708073,0.19825
16,M-1430,item:730384,5.3
16,M-1430,item:734545,0.2
16,M-1430,item:773474,241.36795
16,M-1810,item:001757,0.0406
16,M-1810,item:001848,0.03045
16,M-1810,item:001893,0.19285
16,M-1810,item:002612,0.05075
16,M-1810,item:016332,0.01218
16,M-1810,item:029313,0.001015
16,M-1810,item:039668,0.001015
16,M-1810,item:049371,0.037555
16,M-1810,item:055703,0.00203
16,M-1810,item:099439,0.05075
16,M-1810,item:338928,25.0
16,M-1810,item:338929,25.0
16,M-1810,item:426331,0.275
16,M-1810,item:693055,10.15
16,M-1810,item:693710,840.0
17,M-1430,item:038005,0.437479
17,M-1430,item:042342,1508.55
17,M-1430,item:333362,25.0
17,M-1430,item:344135,25.0
17,M-1430,item:708073,0.19825
17,M-1430,item:730384,5.3
17,M-1430,item:734545,0.2
17,M-1430,item:773474,241.36795
17,M-1810,item:001757,0.0406
17,M-1810,item:001848,0.03045
17,M-1810,item:001893,0.19285
17,M-1810,item:002612,0.05075
17,M-1810,item:016332,0.01218
17,M-1810,item:029313,0.001015
17,M-1810,item:039668,0.001015
17,M-1810,item:049371,0.037555
17,M-1810,item:055703,0.00203
17,M-1810,item:099439,0.05075
17,M-1810,item:338928,25.0
17,M-1810,item:338929,25.0
17,M-1810,item:426331,0.275
17,M-1810,item:693055,10.15
17,M-1810,item:693710,840.0
18,M-1430,item:038005,0.437479
18,M-1430,item:042342,1508.55
18,M-1430,item:333362,25.0
18,M-1430,item:344135,25.0
18,M-1430,item:708073,0.19825
18,M-1430,item:730384,5.3
18,M-1430,item:734545,0.2
18,M-1430,item:773474,241.36795
18,M-1810,item:001757,0.0406
18,M-1810,item:001848,0.03045
18,M-1810,item:001893,0.19285
18,M-1810,item:002612,0.05075
18,M-1810,item:016332,0.01218
18,M-1810,item:029313,0.001015
18,M-1810,item:039668,0.001015
18,M-1810,item:049371,0.037555
18,M-1810,item:055703,0.00203
18,M-1810,item:099439,0.05075
18,M-1810,item:338928,25.0
18,M-1810,item:338929,25.0
18,M-1810,item:426331,0.275
18,M-1810,item:693055,10.15
18,M-1810,item:693710,840.0
19,M-1430,item:038005,0.437479
19,M-1430,item:042342,1508.55
19,M-1430,item:333362,25.0
19,M-1430,item:344135,25.0
19,M-1430,item:708073,0.19825
19,M-1430,item:730384,5.3
19,M-1430,item:734545,0.2
19,M-1430,item:773474,241.36795
19,M-1810,item:001757,0.0406
19,M-1810,item:001848,0.03045
19,M-1810,item:001893,0.19285
19,M-1810,item:002612,0.05075
19,M-1810,item:016332,0.01218
19,M-1810,item:029313,0.001015
19,M-1810,item:039668,0.001015
19,M-1810,item:049371,0.037555
19,M-1810,item:055703,0.00203
19,M-1810,item:099439,0.05075
19,M-1810,item:338928,25.0
19,M-1810,item:338929,25.0
19,M-1810,item:426331,0.275
19,M-1810,item:693055,10.15
19,M-1810,item:693710,840.0
20,M-1430,item:038005,0.437479
20,M-1430,item:042342,1508.55
20,M-1430,item:333362,25.0
20,M-1430,item:344135,25.0
20,M-1430,item:708073,0.19825
20,M-1430,item:730384,5.3
20,M-1430,item:734545,0.2
20,M-1430,item:773474,241.36795
20,M-1810,item:001757,0.0406
20,M-1810,item:001848,0.03045
20,M-1810,item:001893,0.19285
20,M-1810,item:002612,0.05075
20,M-1810,item:016332,0.01218
20,M-1810,item:029313,0.001015
20,M-1810,item:039668,0.001015
20,M-1810,item:049371,0.037555
20,M-1810,item:055703,0.00203
20,M-1810,item:099439,0.05075
20,M-1810,item:338928,25.0
20,M-1810,item:338929,25.0
20,M-1810,item:426331,0.275
20,M-1810,item:693055,10.15
20,M-1810,item:693710,840.0
21,M-1430,item:038005,0.437479
21,M-1430,item:042342,1508.55
21,M-1430,item:333362,25.0
21,M-1430,item:344135,25.0
21,M-1430,item:708073,0.19825
21,M-1430,item:730384,5.3
21,M-1430,item:734545,0.2
21,M-1430,item:773474,241.36795
21,M-1810,item:001757,0.0406
21,M-1810,item:001848,0.03045
21,M-1810,item:001893,0.19285
21,M-1810,item:002612,0.05075
21,M-1810,item:016332,0.01218
21,M-1810,item:029313,0.001015
21,M-1810,item:039668,0.001015
21,M-1810,item:049371,0.037555
21,M-1810,item:055703,0.00203
21,M-1810,item:099439,0.05075
21,M-1810,item:338928,25.0
21,M-1810,item:338929,25.0
21,M-1810,item:426331,0.275
21,M-1810,item:693055,10.15
21,M-1810,item:693710,840.0
22,M-1430,item:038005,0.437479
22,M-1430,item:042342,1508.55
22,M-1430,item:333362,25.0
22,M-1430,item:344135,25.0
22,M-1430,item:708073,0.19825
22,M-1430,item:730384,5.3
22,M-1430,item:734545,0.2
22,M-1430,item:773474,241.36795
22,M-1810,item:001757,0.0406
22,M-1810,item:001848,0.03045
22,M-1810,item:001893,0.19285
22,M-1810,item:002612,0.05075
22,M-1810,item:016332,0.01218
22,M-1810,item:029313,0.001015
22,M-1810,item:039668,0.001015
22,M-1810,item:049371,0.037555
22,M-1810,item:055703,0.00203
22,M-1810,item:099439,0.05075
22,M-1810,item:338928,25.0
22,M-1810,item:338929,25.0
22,M-1810,item:426331,0.275
22,M-1810,item:693055,10.15
22,M-1810,item:693710,840.0
23,M-1430,item:038005,0.437479
23,M-1430,item:042342,1508.55
23,M-1430,item:333362,25.0
23,M-1430,item:344135,25.0
23,M-1430,item:708073,0.19825
23,M-1430,item:730384,5.3
23,M-1430,item:734545,0.2
23,M-1430,item:773474,241.36795
23,M-1810,item:001757,0.0406
23,M-1810,item:001848,0.03045
23,M-1810,item:001893,0.19285
23,M-1810,item:002612,0.05075
23,M-1810,item:016332,0.01218
23,M-1810,item:029313,0.001015
23,M-1810,item:039668,0.001015
23,M-1810,item:049371,0.037555
23,M-1810,item:055703,0.00203
23,M-1810,item:099439,0.05075
23,M-1810,item:338928,25.0
23,M-1810,item:338929,25.0
23,M-1810,item:426331,0.275
23,M-1810,item:693055,10.15
23,M-1810,item:693710,840.0
24,M-1430,item:038005,0.437479
24,M-1430,item:042342,1508.55
24,M-1430,item:333362,25.0
24,M-1430,item:344135,25.0
24,M-1430,item:708073,0.19825
24,M-1430,item:730384,5.3
24,M-1430,item:734545,0.2
24,M-1430,item:773474,241.36795
24,M-1810,item:001757,0.0406
24,M-1810,item:001848,0.03045
24,M-1810,item:001893,0.19285
24,M-1810,item:002612,0.05075
24,M-1810,item:016332,0.01218
24,M-1810,item:029313,0.001015
24,M-1810,item:039668,0.001015
24,M-1810,item:049371,0.037555
24,M-1810,item:055703,0.00203
24,M-1810,item:099439,0.05075
24,M-1810,item:338928,25.0
24,M-1810,item:338929,25.0
24,M-1810,item:426331,0.275
24,M-1810,item:693055,10.15
24,M-1810,item:693710,840.0
25,M-1430,item:038005,0.437479
25,M-1430,item:042342,1508.55
25,M-1430,item:333362,25.0
25,M-1430,item:344135,25.0
25,M-1430,item:708073,0.19825
25,M-1430,item:730384,5.3
25,M-1430,item:734545,0.2
25,M-1430,item:773474,241.36795
